ASSET,BKPREM,CHBAL,DEP,DEPDOM,EINTEXP,ELNATR,EQ,FREPO,INTAN,INTINC,LIAB,LNAG,LNATRES,LNAUTO,LNCI,LNCON,LNDEP,LNLSGR,LNLSNET,LNMUNI,LNRE,LNREAG,LNRECONS,LNREMULT,LNRENRES,LNRERES,NETINC,NIMY,NONII,NONIX,NUMEMP,ORE,ROA,ROE,SC,SCMUNI,SCUS,TRADE
151073,2915,10918,130088,130088,474,0,15118,0,0,1653,135955,1996,760,2773,3019,3626,0,50433,49673,0,40287,303,98,0,13144,26742,442,3.3946618294895052,96,833,16,0,1.1734409430005044,11.57,81596,55593,26003,0
447395,8587,51664,409963,409963,2437,90,33540,0,0,6664,413855,5935,3752,16962,28956,25069,0,331274,327522,0,271288,12932,29671,9623,75417,143645,1487,4.210599714113528,852,3070,85,107,1.3554717944277075,17.9,44967,28432,16536,0
272267,3136,44922,247889,247889,1533,39,22579,0,857,3830,249688,20308,2875,1450,23276,2733,0,204405,201530,0,155898,72991,7988,0,14362,60557,956,3.7359844672826896,227,1513,51,5,1.4119688731757298,17.13,13461,5663,7206,0
549922,7048,4340,384014,384014,2571,0,75738,0,5131,6967,474184,436,6763,330,31171,744,0,465482,458719,0,431310,813,41232,7804,65107,316354,1230,3.549419162099696,4071,6882,178,0,0.8963258836871422,6.53,36463,13874,18456,0
125065,2337,12263,116203,116203,292,9,8564,0,922,1470,116501,1775,1187,3727,7643,4873,0,74675,73488,3900,56484,15245,3928,0,13195,24116,375,4.154470111091518,201,995,21,0,1.2334106270659628,17.15,34924,16969,15611,0
481551,7772,10977,399038,399038,2128,120,39860,5061,0,5950,441691,18545,3965,2245,50775,4846,0,374491,370526,406,289351,50327,38294,11207,94431,95092,814,3.4131094838364,755,3435,51,0,0.6806674554827596,8.23,71711,25348,46288,0
53860,1458,14875,51133,51133,228,0,2438,0,0,536,51422,112,203,824,1591,1337,0,13609,13406,0,10569,108,13,0,4117,6331,20,2.810090780530085,71,356,10,0,0.1619925078465121,3.23,21092,16090,3691,0
88743,1670,4734,67619,67619,320,18,7358,0,0,1077,81385,6199,756,487,5714,1114,0,57156,56400,0,44123,12311,1509,902,7006,22395,191,3.7482669835611016,47,595,13,0,0.8783880888735593,10.33,22417,5514,4870,0
6589361,136743,147137,5634072,5634072,37335,567,467982,0,33660,74099,6121379,0,41469,1092,744342,14480,0,3772033,3730564,118,2864797,5052,137176,176671,1460651,1085247,3804,2.4004880766068064,13170,44438,833,0,0.2315243464983388,3.28,2323134,1010,1923688,5715
254637,2475,22168,231899,231899,1063,10,17043,0,0,3050,237594,1598,1914,3611,7202,4840,0,164082,162168,180,148854,12776,7446,1260,39843,87529,775,3.244505404787564,496,1698,52,0,1.217550798379479,17.87,66339,33748,32591,0
140151,629,15746,124420,124420,662,2,12985,0,10,1987,127166,11723,971,2162,8276,3741,0,84836,83865,0,60926,35621,1115,0,9259,14931,751,4.013388056762937,85,657,28,79,2.1493066983386515,22.31,35787,22250,13537,0
614875,5219,13421,484629,484629,2197,326,57684,0,1279,7282,557191,211357,5517,3336,25702,5472,0,469417,463900,625,225955,53562,11741,4774,59896,95982,1810,3.5406055584373988,619,3094,84,0,1.1827775177518733,12.74,106144,4090,85736,0
171604,1696,14760,98360,98360,1044,0,20053,1320,3323,2170,151551,20351,1584,2662,22150,7604,0,109583,107999,137,59273,33662,2391,100,11554,11566,534,2.7922691836766327,417,1009,30,0,1.2085310067979869,10.74,37067,5224,22042,0
